index,x,y
3001,2,2
3002,2,1
3003,1,1
3004,1,1
3005,1,1
3006,1,1
3007,1,1
3008,1,1
3009,1,2
3010,1,3
3011,1,4
3012,2,4
3013,3,4
3014,4,4
3015,5,4
3016,5,5
3017,5,5
3018,5,5
3019,5,5
3020,5,5
3021,5,5
3022,5,5
3023,5,5
3024,5,5
3025,5,5
3026,5,5
3027,5,5
3028,5,5
3029,4,5
3030,3,5
3031,2,5
3032,2,4
3033,1,4
3034,1,3
3035,1,2
3036,1,1
3037,1,1
3038,1,1
3039,1,1
3040,1,1
3041,1,1
3042,2,1
3043,3,1
3044,4,1
3045,4,2
3046,5,2
3047,5,3
3048,5,4
3049,5,5
3050,5,5
3051,5,5
3052,5,5
3053,5,5
3054,5,5
3055,5,5
3056,5,5
3057,5,5
3058,5,4
3059,4,4
3060,3,4
3061,2,4
3062,1,4
3063,1,3
3064,1,2
3065,1,1
3066,1,1
3067,1,1
3068,1,1
3069,1,1
3070,1,1
3071,1,1
3072,1,1
3073,1,1
3074,2,1
3075,3,1
3076,4,1
3077,5,1
3078,5,2
3079,5,3
3080,5,4
3081,5,5
3082,5,5
3083,5,5
3084,5,5
3085,5,4
3086,5,3
3087,4,3
3088,3,3
3089,2,3
3090,1,3
3091,1,2
3092,1,1
3093,1,1
3094,1,1
3095,1,1
3096,1,1
3097,1,1
3098,1,2
3099,1,3
3100,1,4
3101,2,4
3102,3,4
3103,4,4
3104,4,5
3105,5,5
3106,5,5
3107,5,5
3108,5,5
3109,5,5
3110,5,5
3111,5,5
3112,5,5
3113,5,5
3114,5,4
3115,5,3
3116,5,2
3117,4,2
3118,3,2
3119,2,2
3120,1,2
3121,1,1
3122,1,1
3123,1,1
3124,1,1
3125,1,1
3126,1,1
3127,1,1
3128,2,1
3129,3,1
3130,4,1
3131,5,1
3132,5,2
3133,5,3
3134,5,4
3135,5,5
3136,5,5
3137,5,5
3138,5,5
3139,5,5
3140,5,5
3141,5,5
3142,5,5
3143,5,4
3144,5,3
3145,5,2
3146,5,1
3147,4,1
3148,3,1
3149,2,1
3150,1,1
3151,1,1
3152,1,1
3153,1,1
3154,1,1
3155,1,1
3156,1,1
3157,1,1
3158,1,2
3159,1,3
3160,1,4
3161,1,5
3162,2,5
3163,3,5
3164,4,5
3165,5,5
3166,5,5
3167,5,5
3168,5,5
3169,5,5
3170,5,5
3171,5,5
3172,5,5
3173,5,4
3174,5,3
3175,5,2
3176,5,1
3177,4,1
3178,3,1
3179,2,1
3180,1,1
3181,1,1
3182,1,1
3183,1,1
3184,1,1
3185,1,1
3186,1,1
3187,1,1
3188,1,2
3189,1,3
3190,1,4
3191,2,4
3192,2,5
3193,3,5
3194,4,5
3195,5,5
3196,5,5
3197,5,5
3198,5,5
3199,5,5
3200,5,5
3201,5,5
3202,5,5
3203,5,4
3204,5,3
3205,5,2
3206,4,2
3207,4,1
3208,3,1
3209,2,1
3210,1,1
3211,1,1
3212,1,1
3213,1,1
3214,1,1
3215,1,1
3216,1,1
3217,1,1
3218,1,2
3219,1,3
3220,1,4
3221,1,5
3222,2,5
3223,3,5
3224,4,5
3225,5,5
3226,5,5
3227,5,5
3228,5,5
3229,5,5
3230,5,5
3231,5,5
3232,5,5
3233,4,5
3234,3,5
3235,2,5
3236,2,4
3237,2,3
3238,2,2
3239,2,1
3240,1,1
3241,1,1
3242,1,1
3243,1,1
3244,1,1
3245,1,1
3246,1,1
3247,1,1
3248,2,1
3249,3,1
3250,3,2
3251,4,2
3252,4,3
3253,5,3
3254,5,4
3255,5,5
3256,5,5
3257,5,5
3258,5,5
3259,5,5
3260,5,5
3261,5,5
3262,5,5
3263,4,5
3264,3,5
3265,2,5
3266,1,5
3267,1,4
3268,1,3
3269,1,2
3270,1,1
3271,1,1
3272,1,1
3273,1,1
3274,1,1
3275,1,1
3276,1,1
3277,1,1
3278,2,1
3279,3,1
3280,4,1
3281,4,2
3282,4,3
3283,4,4
3284,4,5
3285,5,5
3286,5,5
3287,5,5
3288,5,5
3289,5,5
3290,5,5
3291,5,5
3292,5,5
3293,4,5
3294,3,5
3295,2,5
3296,1,5
3297,1,4
3298,1,3
3299,1,2
3300,1,1
3301,1,1
3302,1,1
3303,1,1
3304,1,1
3305,1,1
3306,1,1
3307,1,1
3308,1,2
3309,1,3
3310,1,4
3311,1,5
3312,2,5
3313,3,5
3314,4,5
3315,5,5
3316,5,5
3317,5,5
3318,5,5
3319,5,5
3320,5,5
3321,5,5
3322,5,5
3323,5,4
3324,5,3
3325,5,2
3326,4,2
3327,3,2
3328,3,1
3329,2,1
3330,1,1
3331,1,1
3332,1,1
3333,1,1
3334,1,1
3335,1,1
3336,1,1
3337,1,1
3338,2,1
3339,3,1
3340,4,1
3341,5,1
3342,5,2
3343,5,3
3344,5,4
3345,5,5
3346,5,5
3347,5,5
3348,5,5
3349,5,5
3350,5,5
3351,5,5
3352,5,5
3353,5,4
3354,5,3
3355,5,2
3356,5,1
3357,4,1
3358,3,1
3359,2,1
3360,1,1
3361,1,1
3362,1,1
3363,1,1
3364,1,1
3365,1,1
3366,1,1
3367,1,1
3368,1,2
3369,2,2
3370,2,3
3371,3,3
3372,3,4
3373,3,5
3374,4,5
3375,5,5
3376,5,5
3377,5,5
3378,5,5
3379,5,5
3380,5,5
3381,5,5
3382,5,5
3383,4,5
3384,3,5
3385,3,4
3386,2,4
3387,1,4
3388,1,3
3389,1,2
3390,1,1
3391,1,1
3392,1,1
3393,1,1
3394,1,1
3395,1,1
3396,1,1
3397,1,1
3398,1,2
3399,2,2
3400,3,2
3401,4,2
3402,4,3
3403,4,4
3404,4,5
3405,5,5
3406,5,5
3407,5,5
3408,5,5
