index,x,y
3409,5,5
3410,5,5
3411,5,5
3412,5,5
3413,5,4
3414,5,3
3415,5,2
3416,4,2
3417,3,2
3418,2,2
3419,2,1
3420,1,1
3421,1,1
3422,1,1
3423,1,1
3424,1,1
3425,1,1
3426,1,1
3427,1,1
3428,1,2
3429,1,3
3430,1,4
3431,2,4
3432,3,4
3433,4,4
3434,4,5
3435,5,5
3436,5,5
3437,5,5
3438,5,5
3439,5,5
3440,5,5
3441,5,5
3442,5,5
3443,5,4
3444,5,3
3445,5,2
3446,5,1
3447,4,1
3448,3,1
3449,2,1
3450,1,1
3451,1,1
3452,1,1
3453,1,1
3454,1,1
3455,1,1
3456,1,1
3457,1,1
3458,2,1
3459,3,1
3460,3,2
3461,4,2
3462,4,3
3463,4,4
3464,4,5
3465,5,5
3466,5,5
3467,5,5
3468,5,5
3469,5,5
3470,5,5
3471,5,5
3472,5,5
3473,5,4
3474,4,4
3475,3,4
3476,3,3
3477,2,3
3478,2,2
3479,2,1
3480,1,1
3481,1,1
3482,1,1
3483,1,1
3484,1,1
3485,1,1
3486,1,1
3487,1,1
3488,1,2
3489,1,3
3490,2,3
3491,3,3
3492,4,3
3493,5,3
3494,5,4
3495,5,5
3496,5,5
3497,5,5
3498,5,5
3499,5,5
3500,5,5
3501,5,5
3502,5,5
3503,4,5
3504,3,5
3505,2,5
3506,2,4
3507,2,3
3508,2,2
3509,2,1
3510,1,1
3511,1,1
3512,1,1
3513,1,1
3514,1,1
3515,1,1
3516,1,1
3517,1,1
3518,1,2
3519,1,3
3520,1,4
3521,2,4
3522,3,4
3523,4,4
3524,4,5
3525,5,5
3526,5,5
3527,5,5
3528,5,5
3529,5,5
3530,5,5
3531,5,5
3532,5,5
3533,5,4
3534,5,3
3535,5,2
3536,4,2
3537,4,1
3538,3,1
3539,2,1
3540,1,1
3541,1,1
3542,1,1
3543,1,1
3544,1,1
3545,1,1
3546,1,1
3547,1,1
3548,2,1
3549,3,1
3550,4,1
3551,5,1
3552,5,2
3553,5,3
3554,5,4
3555,5,5
3556,5,5
3557,5,5
3558,5,5
3559,5,5
3560,5,5
3561,5,5
3562,5,5
3563,4,5
3564,3,5
3565,2,5
3566,1,5
